"id","nome","instituicao","pais"
"05-7O",Juan D. Godino,Universidad de Granada,Espanha
"05-7O",Carmen Batanero,Universidad de Granada,Espanha
"05-7P",J. Michael Shaughnessy,Portland State University,Estados Unidos
"05-7Q",Jane M. Watson,University of Tasmania,Austrália
"05-7R",Martha Bilotti-Aliaga,University of Michigan,Estados Unidos
"05-7S",Kay Lipson,Swinburne University of Technology,Austrália
"05-7T",Rob Situmeang,Saint Mary's University,Estados Unidos
"05-7U",Geoff Cumming,La Trobe University,Austrália
"05-7U",Neil Thomason,The University of Melbourne,Austrália
"05-7V",Agostino Di Ciaccio,University of Urbino,Itália
"05-7W",Gianfranco Galmacci,Università di Perugia,Itália
"05-7W",Giuseppe Cicchitelli,Università di Perugia,Itália
"05-7X",Antonio Giusti,Università di Firenze,Itália
"05-7X",Alessandra Petrucci,Università di Firenze,Itália
"05-7X",Francesco Polverini,Università di Firenze,Itália
"05-7Z",Erica J. Morris,The Open University,Reino Unido
"05-7Z",Martin Le Voi,The Open University,Reino Unido
"05-7ZA",Peter Petocz,University of Technology,Austrália
"05-7ZB",Juha Puranen,University of Helsinki,Finlândia
"05-7ZC",William S. Cleveland,Bell Labs,Estados Unidos
"05-7ZD",Siva Ganesh,Massey University,Nova Zelândia
"05-7ZD",S Ganesalingam,Massey University,Nova Zelândia
"05-7ZE",K. Laurence Weldon,Simon Fraser University,Canadá
"05-7ZF",Carmen Batanero,Universidad de Granada,Espanha
"05-7ZF",Juan D. Godino,Universidad de Granada,Espanha
"05-7ZG",Rolf Biehler,Universität Bielefeld,Alemanha
"05-7ZH",Erica J. Morris,The Open University,Reino Unido
"05-7ZI",Dave Pratt,University of Warwick,Reino Unido
"05-7ZI",Richard Noss,University of London,Reino Unido
"05-8A",Paul Lavoie,,
"05-8A",Linda Gattuso,,
"05-8B",Bernard Parzysz,,
"05-8C",John Truran,,
"05-8D",James Clayson,,
"05-8E",Robert C. delMas,University of Minnesota,Estados Unidos
"05-8E",Joan Garfield,University of Minnesota,Estados Unidos
"05-8E",Beth L. Chance,University of the Pacific,Estados Unidos
"05-8F",Michael J. Glencross,,
"05-8G",Julie A. Jackson,,
"05-8G",Maxwell L. King,,
"05-8H",Marie-Paule Lecoutre,,
"05-8H",Mohamed Rezrazi,,
"05-8I",Sharleen Forbes,,
"05-8J",Rebecca L. Pierce,Ball State University,Estados Unidos
"05-8K",Philip J. Boland,,
"05-8L",Neil T. Diamond,,
"05-8L",Rhonda Hallett,,
"05-8M",Loi Soh Loi,,
"05-8M",Wu Yuan,,
"05-8N",Helen MacGillivray,,
"05-8O",Shen Shir Ming,,
"05-8Q",Susan Starkings,,
"05-8R",Linda J. Young,,
"06-1A2",Milo Schield,,
"06-1A4",Chris Reading,,
"06-1B1",Beverley Botting,,
"06-1B1",David Stone,,
"06-1B3",Jessica Utts,,
"06-1B4",Philip J. Boland,,
"06-1B5",A.Marie Phillips,,
"06-1B6",Jerry L. Moreno,,
"06-2A1",Jane M. Watson,,
"06-2A1",Ben A. Kelly,,
"06-2A2",José Luis Cortina,,
"06-2A3",Efthymia Paparistodemou,,
"06-2A3",Richard Noss,,
"06-2A3",Dave Pratt,,
"06-2B1",James Nicholson,Queen's University of Belfast,Reino Unido
"06-2B1",Gerry Mulhern,Queen's University of Belfast,Reino Unido
"06-2B1",Neville Hunt,Coventry University,Reino Unido
"06-2B2",Jeffrey A. Witmer,,
"06-2B3",Hanan Innabi,,
"06-2C1",Jinfa Cai,,
"06-2C1",Christine Carrino Gorowara,,
"06-2C2",Silio Rigatti Luchini,,
"06-2C2",Maria Pia Perelli D'Argenzio,,
"06-2C2",Gianfranco Moncecchi,,
"06-2C5",Dani Ben-Zvi,University of Haifa,Israel
"06-2D1",Doreen Connor,,
"06-2D2",Delia North,,
"06-2D2",Maria Gabriella Ottaviani,,
"06-2D3",Gianfranco Galmacci,,
"06-2D3",Anna Maria Milito,,
"06-2D4",Annie Morin,Université de Rennes,França
"06-2D5",Koeno Gravemeijer,,
"06-2D6",Peter Holmes,,
"06-2E1",Paul Cobb,,
"06-2E1",Lynn Hodge,,
"06-2E2",Carolina Carvalho,,
"06-2E2",Margarida César,,
"06-2E3",Celia Hoyles,,
"06-2E3",Richard Noss,,
"06-3A1",Brian Jersky,,
"06-3A2",Robert A. Leslie,,
"06-3A3",Trisha Thorme,,
"06-3A3",Rob Root,,
"06-3A4",Jon E. Anderson,,
"06-3A4",Engin A. Sungur,,
"06-3B1",Wesley Johnson,,
"06-3B1",Mitchell Watnikk,,
"06-3B2",Sudhakar Kunte,,
"06-3B3",Serge B. Provost,,
"06-3B4",K. L. Weldon,Simon Fraser University,Canadá
"06-3C2",Ann-Lee Wang,,
"06-3D1",Alice M. Richardson,,
"06-3D3",Félicien Donat Edgar Towènan Accrombessy,,
"06-3D4",Parin Kurji,,
"06-3E1",Deborah Nolan,,
"06-3E2",Flavia Jolliffe,,
"06-3E3",Jean-Hugues Chauchat,,
"06-3E4",Margaret Mackisack,,
"06-3E4",Peter Petocz,,
"06-3F1",James Albert,,
"06-3F2",W. M. Bolstad,University of Waikato,Nova Zelândia
"06-3F3",Peter Sedlmeier,Chemnitz University of Technology,Alemanha
"06-3G1",Cornelia J. Swanepoel,Potchefstroom University for CHE,África do Sul
"06-3G2",Ricardo Cao,,
"06-3G3",Federico Palacios-Gonzalez,Universidad de Granada,Espanha
"06-3G4",Thomas P. Hettmansperger,,
"06-3G4",Ryan Elmore,,
"06-3H2",Shrikant I. Bangdiwala,,
"06-3H2",M. Lourdes Amarillo,,
"06-3H2",Suresh Ughade,,
"06-3H2",M. Nelcy Rodríguez,,
"06-3H2",Julio M. Singer,,
"06-3H2",Sergio R. Muñoz-Navarro,,
"06-3H2",Chulaluk Komoltri,,
"06-3H2",J. Francisco Cumsille-Garib,,
"06-3H3",Andile Mji,,
"06-3H3",Michael Glencross,,
"06-3I1",Gary Kader,,
"06-3I1",Mike Perry,,
"06-3I2",Allan J. Rossman,,
"06-3I2",Beth L. Chance,,
"06-3I3",Neville Davies,Nottingham Trent University,Reino Unido
"06-3I3",Ian Roberts,Northern Territory University,Austrália
"06-3I3",Trevor Cole,Cwrt Rawlin Primary School,Reino Unido
"06-3I4",Renuka Vithal,,
"06-3J1",Peter Martin,,
"06-3J1",Robyn Pierce,,
"06-3J1",Jason Giri,,
"06-3J2",Dalene Stangl,,
"06-3J3",Reena Deutsch,,
"06-3K2",Lynne Stokes,,
"06-3K4",Cynthia Clark,,
"06-3L1",Marti J. Anderson,,
"06-3L2",Ann A. O'Connell,,
"06-3L4",Siva Ganesh,Massey University,Nova Zelândia
"06-3M1",Michael Granaas,,
"06-3M2",Alan McLean,,
"06-3M3",Timothy E. O'Brien,,
"06-3M4",Stefan Krauss,,
"06-3M4",Christoph Wassner,,
"06-3N2",Elisabeth Svensson,,
"06-4A2",Koffi N'Guessan,,
"06-4A4",Carmen Arribas,,
"06-4B2",Bart Meganck,,
"06-4B3",Madhuri S. Mulekar,,
"06-4B3",Madge Haven,,
"06-4C1",Bradley Payne,,
"06-4C1",Peter Holmes,,
"06-4C1",Neville Davies,,
"06-4C3",Pilar Martín-Guzmán,,
"06-4C4",Ruslan Motoryn,,
"06-4D1",Lea Bregar,University of Ljubljana,Eslovênia
"06-4D1",Irena Ograjenšek,University of Ljubljana,Eslovênia
"06-4D1",Mojca Bavdaž Kveder,University of Ljubljana,Eslovênia
"06-4D2",Sharon Copeland-Smith,,
"06-4D3",W. Robert Stephenson,,
"06-4D4",Lea Vermeire,,
"06-4D4",An Carbonez,,
"06-4D4",Paul Darius,,
"06-4D4",Jill Fresen,,
"06-4E1",Cristiana Conti,,
"06-4E1",Enzo Lombardo,,
"06-4E2",Lesley Hooper,,
"06-4E4",Enrica Aureli,,
